[20:28:46] Starting headless session...
[20:28:47] [init] session=c245cf91 model=deepseek-v4-flash-max[1m] cwd=/workspace tools=28
[claude-code:unrecognized_model] {"model":"deepseek-v4-flash-max[1m]","query_source":"sdk"}
[20:28:48] [system: thinking_tokens]
[20:28:48] [system: thinking_tokens]
[20:28:48] [system: thinking_tokens]
[20:28:48] [system: thinking_tokens]
[20:28:48] [system: thinking_tokens]
[20:28:48] [system: thinking_tokens]
[20:28:48] [system: thinking_tokens]
[20:28:48] [system: thinking_tokens]
[20:28:48] [system: thinking_tokens]
[20:28:48] [system: thinking_tokens]
[20:28:48] [system: thinking_tokens]
[20:28:48] [system: thinking_tokens]
[20:28:48] [system: thinking_tokens]
[20:28:48] [system: thinking_tokens]
[20:28:48] [system: thinking_tokens]
[20:28:48] [system: thinking_tokens]
[20:28:48] [system: thinking_tokens]
[20:28:48] [system: thinking_tokens]
[20:28:48] [system: thinking_tokens]
[20:28:48] [system: thinking_tokens]
[20:28:48] [system: thinking_tokens]
[20:28:48] [system: thinking_tokens]
[20:28:48] [system: thinking_tokens]
[20:28:48] [system: thinking_tokens]
[20:28:48] [system: thinking_tokens]
[20:28:48] [system: thinking_tokens]
[20:28:48] [system: thinking_tokens]
[20:28:48] [system: thinking_tokens]
[20:28:48] [system: thinking_tokens]
[20:28:48] [system: thinking_tokens]
[20:28:48] [system: thinking_tokens]
[20:28:48] [system: thinking_tokens]
[20:28:48] [system: thinking_tokens]
[20:28:48] [system: thinking_tokens]
[20:28:48] [system: thinking_tokens]
[20:28:48] [system: thinking_tokens]
[20:28:48] [system: thinking_tokens]
[20:28:48] [system: thinking_tokens]
[20:28:48] [system: thinking_tokens]
[20:28:48] [system: thinking_tokens]
[20:28:48] [system: thinking_tokens]
[20:28:48] [system: thinking_tokens]
[20:28:48] [system: thinking_tokens]
[20:28:48] [system: thinking_tokens]
[20:28:48] [system: thinking_tokens]
[20:28:48] [system: thinking_tokens]
[20:28:48] [system: thinking_tokens]
[20:28:48] [system: thinking_tokens]
[20:28:48] [system: thinking_tokens]
[20:28:48] [system: thinking_tokens]
[20:28:48] [system: thinking_tokens]
[20:28:48] [system: thinking_tokens]
[20:28:48] [system: thinking_tokens]
[20:28:48] [system: thinking_tokens]
[20:28:48] [system: thinking_tokens]
[20:28:48] [system: thinking_tokens]
[20:28:48] [system: thinking_tokens]
[20:28:48] [system: thinking_tokens]
[20:28:48] [system: thinking_tokens]
[20:28:48] [system: thinking_tokens]
[20:28:48] [system: thinking_tokens]
[20:28:48] [system: thinking_tokens]
[20:28:48] [system: thinking_tokens]
[20:28:48] [system: thinking_tokens]
[20:28:48] [system: thinking_tokens]
[20:28:48] [system: thinking_tokens]
[20:28:48] [system: thinking_tokens]
[20:28:48] [system: thinking_tokens]
[20:28:48] [system: thinking_tokens]
[20:28:48] [system: thinking_tokens]
[20:28:48] [system: thinking_tokens]
[20:28:48] [system: thinking_tokens]
[20:28:48] [system: thinking_tokens]
[20:28:48] [system: thinking_tokens]
[20:28:48] [system: thinking_tokens]
[20:28:48] [system: thinking_tokens]
[20:28:48] [system: thinking_tokens]
[20:28:48] [system: thinking_tokens]
[20:28:48] [system: thinking_tokens]
[20:28:48] [system: thinking_tokens]
[20:28:48] [system: thinking_tokens]
[20:28:48] [system: thinking_tokens]
[20:28:48] [system: thinking_tokens]
[20:28:48] [system: thinking_tokens]
[20:28:48] [system: thinking_tokens]
[20:28:48] [system: thinking_tokens]
[20:28:48] [system: thinking_tokens]
[20:28:48] [system: thinking_tokens]
[20:28:48] [system: thinking_tokens]
[20:28:48] [system: thinking_tokens]
[20:28:48] [system: thinking_tokens]
[20:28:48] [system: thinking_tokens]
[20:28:48] [system: thinking_tokens]
[20:28:48] [system: thinking_tokens]
[20:28:48] [system: thinking_tokens]
[20:28:49] [system: thinking_tokens]
[20:28:49] [system: thinking_tokens]
[20:28:49] [system: thinking_tokens]
[20:28:49] [system: thinking_tokens]
[20:28:49] [system: thinking_tokens]
[20:28:49] [system: thinking_tokens]
[20:28:49] [system: thinking_tokens]
[20:28:49] [system: thinking_tokens]
[20:28:49] [system: thinking_tokens]
[20:28:49] [system: thinking_tokens]
[20:28:49] [system: thinking_tokens]
[20:28:49] [system: thinking_tokens]
[20:28:49] [system: thinking_tokens]
[20:28:49] [system: thinking_tokens]
[20:28:49] [system: thinking_tokens]
[20:28:49] [system: thinking_tokens]
[20:28:49] [system: thinking_tokens]
[20:28:49] [system: thinking_tokens]
[20:28:49] [system: thinking_tokens]
[20:28:49] [system: thinking_tokens]
[20:28:49] [system: thinking_tokens]
[20:28:49] [system: thinking_tokens]
[20:28:49] [system: thinking_tokens]
[20:28:49] [system: thinking_tokens]
[20:28:49] [system: thinking_tokens]
[20:28:49] [system: thinking_tokens]
[20:28:49] [system: thinking_tokens]
[20:28:49] [system: thinking_tokens]
[20:28:49] [system: thinking_tokens]
[20:28:49] [system: thinking_tokens]
[20:28:49] [system: thinking_tokens]
[20:28:49] [system: thinking_tokens]
[20:28:49] [system: thinking_tokens]
[20:28:49] [system: thinking_tokens]
[20:28:49] [system: thinking_tokens]
[20:28:49] [system: thinking_tokens]
[20:28:49] [system: thinking_tokens]
[20:28:49] [system: thinking_tokens]
[20:28:49] [system: thinking_tokens]
[20:28:49] [system: thinking_tokens]
[20:28:49] [system: thinking_tokens]
[20:28:49] [system: thinking_tokens]
[20:28:49] [system: thinking_tokens]
[20:28:49] [system: thinking_tokens]
[20:28:49] [system: thinking_tokens]
[20:28:49] [system: thinking_tokens]
[20:28:49] [system: thinking_tokens]
[20:28:49] [system: thinking_tokens]
[20:28:49] [system: thinking_tokens]
